Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category
Canada,CAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,537.0,2021,WDI,Uncategorized
Canada,CAN,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,,,2021,WDI,Uncategorized
Canada,CAN,B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,IC.BRE.DR.P3,,,2021,WDI,Uncategorized
Canada,CAN,B-READY: Pillar 1: Regulatory Framework,IC.BRE.P1.RF,,,2021,WDI,Uncategorized
Canada,CAN,Changes in inventories (constant LCU),NE.GDI.STKB.KN,,,2021,WDI,Uncategorized
Canada,CAN,Changes in inventories (current LCU),NE.GDI.STKB.CN,,3444000000.0,2021,WDI,Uncategorized
Canada,CAN,Changes in inventories (current US$),NE.GDI.STKB.CD,,2746681108.93371,2021,WDI,Uncategorized
Canada,CAN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,8284538686.12483,2021,WDI,Uncategorized
Canada,CAN,Compensation of employees (current LCU),GC.XPN.COMP.CN,,51668000000.0,2021,WDI,Uncategorized
Canada,CAN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,,7169607.0,2021,WDI,Uncategorized
Canada,CAN,Control of Corruption: Estimate,CC.EST,,1.61626875400543,2021,WDI,Uncategorized
Canada,CAN,Control of Corruption: Number of Sources,CC.NO.SRC,,9.0,2021,WDI,Uncategorized
Canada,CAN,Control of Corruption: Percentile Rank,CC.PER.RNK,,92.3809509277344,2021,WDI,Uncategorized
Canada,CAN,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,,89.0476226806641,2021,WDI,Uncategorized
Canada,CAN,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,,96.1904754638672,2021,WDI,Uncategorized
Canada,CAN,Control of Corruption: Standard Error,CC.STD.ERR,,0.170602306723595,2021,WDI,Uncategorized
Canada,CAN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,,2021,WDI,Uncategorized
Canada,CAN,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,,2021,WDI,Uncategorized
Canada,CAN,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,,1.2538769021268,2021,WDI,Uncategorized
Canada,CAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,4.96627055836225,2021,WDI,Uncategorized
Canada,CAN,Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,,,2021,WDI,Uncategorized
Canada,CAN,Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS,,,2021,WDI,Uncategorized
Canada,CAN,Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,,,2021,WDI,Uncategorized
Canada,CAN,Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,,,2021,WDI,Uncategorized
Canada,CAN,Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,,,2021,WDI,Uncategorized
Canada,CAN,Fixed broadband subscriptions,IT.NET.BBND,,16000000.0,2021,WDI,Uncategorized
Canada,CAN,Fixed telephone subscriptions,IT.MLT.MAIN,,12192000.0,2021,WDI,Uncategorized
Canada,CAN,"IFC, private nonguaranteed (NFL, US$)",DT.NFL.NIFC.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Industrial design applications, nonresident, by count",IP.IDS.NRCT,,8776.0,2021,WDI,Uncategorized
Canada,CAN,"Industrial design applications, resident, by count",IP.IDS.RSCT,,715.0,2021,WDI,Uncategorized
Canada,CAN,"Listed domestic companies, total",CM.MKT.LDOM.NO,,3455.0,2021,WDI,Uncategorized
Canada,CAN,Losses due to theft and vandalism (% of annual sales for affected firms),IC.FRM.CRIM.ZS,,,2021,WDI,Uncategorized
Canada,CAN,Mobile cellular subscriptions,IT.CEL.SETS,,33600000.0,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Czechia (current US$)",DC.DAC.CZEL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Estonia (current US$)",DC.DAC.ESTL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Lithuania (current US$)",DC.DAC.LTUL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,,,2021,WDI,Uncategorized
Canada,CAN,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,,,2021,WDI,Uncategorized
