Country Name,Country Code,Series Name,Series Code,Quarter,Value,Year,Source,Indicator Category
Canada,CAN,Age dependency ratio (% of working-age population),SP.POP.DPND,,52.0342485398259,2021,WDI,Statistical_Indicators
Canada,CAN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,,28.0993647538034,2021,WDI,Statistical_Indicators
Canada,CAN,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,,23.9348837860225,2021,WDI,Statistical_Indicators
Canada,CAN,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,,118000000.0,2021,WDI,Statistical_Indicators
Canada,CAN,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,,288000000.0,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,IC.BRE.BE.P3,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Entry: Overall Score,IC.BRE.BE.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,IC.BRE.BI.P2,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,IC.BRE.BI.P3,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Insolvency: Overall Score,IC.BRE.BI.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,IC.BRE.BL.P3,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Business Location: Overall Score,IC.BRE.BL.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Dispute Resolution: Overall Score,IC.BRE.DR.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,IC.BRE.LB.P3,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Labor: Overall Score,IC.BRE.LB.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Pillar 3: Operational Efficiency,IC.BRE.P3.OE,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,IC.BRE.TX.P3,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Taxation: Overall Score,IC.BRE.TX.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision,IC.BRE.US.P3,,,2021,WDI,Statistical_Indicators
Canada,CAN,B-READY: Utility Services: Overall Score,IC.BRE.US.OS,,,2021,WDI,Statistical_Indicators
Canada,CAN,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Compulsory education, duration (years)",SE.COM.DURS,,10.0,2021,WDI,Statistical_Indicators
Canada,CAN,Consumer price index (2010 = 100),FP.CPI.TOTL,,121.587006296508,2021,WDI,Statistical_Indicators
Canada,CAN,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,84.04,2021,WDI,Statistical_Indicators
Canada,CAN,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,,121.2,2021,WDI,Statistical_Indicators
Canada,CAN,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,123.7896288864,2021,WDI,Statistical_Indicators
Canada,CAN,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,102.099438938,2021,WDI,Statistical_Indicators
Canada,CAN,Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,95.47,2021,WDI,Statistical_Indicators
Canada,CAN,Gini index,SI.POV.GINI,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,107.8,2021,WDI,Statistical_Indicators
Canada,CAN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,117.1793792903,2021,WDI,Statistical_Indicators
Canada,CAN,Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD,,107.2778112162,2021,WDI,Statistical_Indicators
Canada,CAN,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,,48.8423676104,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,,,2021,WDI,Statistical_Indicators
Canada,CAN,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,,110.9991406622,2021,WDI,Statistical_Indicators
Canada,CAN,Net migration,SM.POP.NETM,,198867.0,2021,WDI,Statistical_Indicators
Canada,CAN,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,,10.334084254641,2021,WDI,Statistical_Indicators
Canada,CAN,"Preprimary education, duration (years)",SE.PRE.DURS,,6.0,2021,WDI,Statistical_Indicators
Canada,CAN,"Primary education, duration (years)",SE.PRM.DURS,,6.0,2021,WDI,Statistical_Indicators
Canada,CAN,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,,,2021,WDI,Statistical_Indicators
Canada,CAN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,84.760025538231,2021,WDI,Statistical_Indicators
Canada,CAN,"Secondary education, duration (years)",SE.SEC.DURS,,6.0,2021,WDI,Statistical_Indicators
Canada,CAN,Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,,93.4208333333333,2021,WDI,Statistical_Indicators
Canada,CAN,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,,100.0,2021,WDI,Statistical_Indicators
Canada,CAN,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),IQ.SPI.PIL2,,93.0666666666666,2021,WDI,Statistical_Indicators
Canada,CAN,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3,,83.6875,2021,WDI,Statistical_Indicators
Canada,CAN,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),IQ.SPI.PIL4,,90.35,2021,WDI,Statistical_Indicators
Canada,CAN,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5,,100.0,2021,WDI,Statistical_Indicators
Canada,CAN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,2021,WDI,Statistical_Indicators
Canada,CAN,UHC service coverage index,SH.UHC.SRVS.CV.XD,,91.0,2021,WDI,Statistical_Indicators
Canada,CAN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,2021,WDI,Statistical_Indicators
Canada,CAN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,100.0,2021,WDI,Statistical_Indicators
United States,USA,Age dependency ratio (% of working-age population),SP.POP.DPND,,52.9517089915283,2021,WDI,Statistical_Indicators
United States,USA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,,25.1969128616528,2021,WDI,Statistical_Indicators
United States,USA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,,27.7547961298755,2021,WDI,Statistical_Indicators
United States,USA,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,,11074000000.0,2021,WDI,Statistical_Indicators
United States,USA,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,,846000000.0,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,IC.BRE.BE.P3,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Entry: Overall Score,IC.BRE.BE.OS,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,IC.BRE.BI.P2,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,IC.BRE.BI.P3,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Insolvency: Overall Score,IC.BRE.BI.OS,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,IC.BRE.BL.P3,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Business Location: Overall Score,IC.BRE.BL.OS,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Dispute Resolution: Overall Score,IC.BRE.DR.OS,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,IC.BRE.LB.P3,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Labor: Overall Score,IC.BRE.LB.OS,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Pillar 3: Operational Efficiency,IC.BRE.P3.OE,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,IC.BRE.TX.P3,,,2021,WDI,Statistical_Indicators
United States,USA,B-READY: Taxation: Overall Score,IC.BRE.TX.OS,,,2021,WDI,Statistical_Indicators
